sponsor_name,Study ID,DQ Name,REFERENCE,Source Study ID,Source DQ Name,"
Data Category: IDRP Data Category Name",DQ Description,Check logic,Standard Query text,Primary Dataset,Primary Dataset Columns,Primary Form Name,Primary Visit Name,Primary Dynamic Domain,Primary Dynamic Columns,Query Target,DQ Config:Target_dataset_refname,DQ Config: Target item refname (ITEMID of RAW variable),Relational Dataset_1,Relational Dataset Columns_1,Relational Form Name_1,Relational Visit Name_1,Relational Dynamic Domain_1,Relational Dynamic Columns_1,Relational Dataset_2,Relational Dataset Columns_2,Relational Form Name_2,Relational Visit Name_2,Relational Dynamic Domain_2,Relational Dynamic Columns_2,SSPID Flag,Relational Dataset_3,Relational Dataset Columns_3,Relational Form Name_3,Relational Visit Name_3,Relational Dynamic Domain_3,Relational Dynamic Columns_3,Relational Dataset_4,Relational Dataset Columns_4,Relational Form Name_4,Relational Visit Name_4,Relational Dynamic Domain_4,Relational Dynamic Columns_4,Relational Dataset_5,Relational Dataset Columns_5,Relational Form Name_5,Relational Visit Name_5,Relational Dynamic Domain_5,Relational Dynamic Columns_5,Logic modified date,Logic modification reason,Clarification Category,Saama Comments,Sponsor Comment,DQ Config:Target_section_refname,SENT_FOR_CREATION
Test_sponsor_1,Load_study_9,Ref_Check_12,,,,Adverse Events,"""If the adverse event is serious then Sponsor Causality for (Study Drug Name) should be present in the AE dataset.
 Note for DM: Sponsor Causality is loaded from the Safety database in AE dataset, thus forward to PDM to check if the criteria that pulls the causality is met and for further follow-ups, No queries to be raised to site.""","AESER = Y and AEAREL = Null, query should fire","DM Review: Response to 'Is the adverse event serious?' is 'Yes' on the Adverse Event eCRF, but Sponsor Causality for (Study Drug Name) is missing in the AE dataset. Please check with safety team and do not query site.",AE,"AESER,AEAREL",Adverse Events,,AE,"AETERM,AEAREL,AESER",AESER,AE_F,AESER,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Load_study_11,Ref_Check_15,,,,Study Treatment Administration â€“ Livmoniplimab,"""Ensure that if """"Action taken with study treatment"""" is """"Drug withdrawn"""" for an adverse event, there are no new subsequent dosing records created for the corresponding drug.
 Note: Check on AE form where """"Drug Withdrawn"""" is recorded and Study treatment administration is recorded after the AE start date (and/or End Date)""",AEAV151 = DRUG WITHDRAWN and ECSTDTC > AEENDTC. Query should fire,"Action taken with study treatment is recorded as 'Drug Withdrawn' however there is new subsequent dosing record created for the corresponding drug, please review and update the data appropriately or else clarify.",AE,"AEAV151,AEENDTC",Adverse Events,,AE,"AEACN,AEENDTC,AEREFID,AETERM",AEAV151,AE_F,AEACN,EC,ECSTDTC,Study Treatment Administration - Livmoniplimab,,EC,"ECSTDTC,ECTRT,SPID,GRPID,DCMDATE,VISIT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_1,Load_study_4,Ref_Check_07,,,,Adverse Events,"Sponsor Causality for (sponsV-400) should not be present in the AE dataset for Non-Serious Adverse events.
  Note for DM: Sponsor Causality is loaded from the Safety database in AE dataset, thus forward to PDM for further follow-ups, No queries to be raised to site.","AESER = N and AEAREL <> Null, query should fire","DM Review: Sponsor Causality for (sponsV-400) is present in the AE dataset, but response to 'Is the adverse event serious?' is 'No' on the Adverse Event eCRF. Please check with safety team and do not query site.",AE,"AESER,AEAREL",Adverse Events,,AE,"AETERM,AEAREL,AESER",AESER,AE_F,AESER,,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_2,Load_study_12,Ref_Check_16,,,,End of Study Treatment,"If SYSDATE is <365> days after the Baseline Event Date, End of Study Treatment eCRF should be completed.","If DCMDATE<>NULL for VISITNAME = Baseline and CURRDTC > DCMDATE + 365 days and there is no record in DS domain with FORMNAME = End of Study Treatment, query should fire.","Please complete End of Study Treatment eCRF if subject has completed study treatment. Else, clarify.",DOV,DCMDATE,,Baseline,DOV,DCMDATE,DCMDATE,DOV,DCMDATE,SYSDT,DOMAIN,,,,,DS,,End of Study Treatment,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_2,Load_study_1,Ref_Check_10,,,,SAE Protocol Defined Local Labs - Chemistry,"If 'SAE Protocol Defined Local Labs - Chemistry is checked in SAE Supplemental Trigger eCRF, then SAE Protocol Defined Local Labs - Chemistry should be completed for the corresponding AE unique record identifier.",_V_SAE_CHEM (FORMNAME = SAE Supplemental Trigger) = Y and there is no record with VISITINDEX (TRIGGER) = VISITINDEX (LB_LOCAL) in LB_LOCAL where FORMNAME = SAE Protocol Defined Local Labs - Chemistry. Query should fire,SAE Protocol Defined Local Labs - Chemistry is missing. Please update.,TRIGGER,_V_SAE_CHEM,,,TRIGGER,_V_SAE_CHEM,_V_SAE_CHEM,SAE_TRIG_F,_V_SAE_CHEM,LB_LOCAL,,,,,,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_3,Load_study_4,Ref_Check_06,,,,Vital Signs,"Form: Vital Signs(Screening)
 If 'Is the subject an enrollment failure?' is 'No' and Event Date is present, Vital Signs eCRF should be completed.","""DCMDATE <> Null and _V_ENROLLFAILYN = N and there is no record with VISIT (DOV) = VISIT (VS) in VS. Query should fire","Event date is present, but Vital Signs eCRF is missing. Please update.",DOV,DCMDATE,Date of Visit,Screening,DOV,DCMDATE,DCMDATE,DOV,DCMDATE,TRIGGER,_V_ENROLLFAILYN,Enrollment Failure,,TRIGGER,_V_ENROLLFAILYN,VS,,Vital Signs(Screening),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_3,Load_study_12,Ref_Check_17,,,,End of Study,"If SYSDATE is <400> after the Baseline Event Date, End of Study eCRF should be completed.",DCMDATE<>NULL and CURRDTC > DCMDATE + 400 days and there is no record in DS domain with FORMNAME = End of Study . Query should fire.,"Please complete End of Study eCRF if subject has completed study. Else, clarify.",DOV,DCMDATE,DATE OF VISIT,Baseline,DOV,DCMDATE,DCMDATE,DOV,DCMDATE,SYSDT,DOMAIN,,,,,DS,,End of Study,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_3,Load_study_6,Ref_Check_04,,,,Demographics,"If 'Is the subject an enrollment failure?' is 'No',birth year should be >/= 18 years",_V_ENROLLFAILYN =N and AGE < 18.Query should fire.,Age is not within the protocol-defined age range. Please confirm or correct in IRT.,TRIGGER,_V_ENROLLFAILYN,Enrollment Failure,,TRIGGER,_V_ENROLLFAILYN,_V_ENROLLFAILYN,ENR_F,_V_ENROLLFAILYN,DM,AGE,,,DM,"AGE,DCMDATE,GRPID,SPID,VISIT",,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_3,Load_study_7,Ref_Check_03,,,,Pharmacokinetic Sampling,"Time of collection should be within 10% deviation of the scheduled time of collection after study treatment administration. 
  
  Category: <Category>
  Sample type: <Sample type>
  Purpose: <Purpose>
  Relative time point: <Relative time point>","If BECAT = PHARMACOKINETIC and BESTDTC <> NULL and BE(VISIT) = EC (VISIT) and BESTDTC is not within 10 % of ECSTDTC of BETPT. 
  e.g. when BETPT = 1 HOUR POST, then BESTDTC should be 54 Minutes + ECSTDTC to 66 Minutes + ECSTDTC. If no Query should fire
  e.g. when BETPT = 2 HOUR POST ,then BESTDTC should be 108 Minutes + ECSTDTC to 132 Minutes + ECSTDTC. If no Query should fire
  NOTE: Query must fire for the following BETPT
  < 1 HOUR POST, 2 HOUR POST, 3 HOUR POST>
  NOTE: Please consider both DATE and TIME for ECSTDTCand BESTDTC
  ""","Category: [%BECAT%], Sample type: [%BESPEC], Purpose [%BESCAT%], Barcode: [%BEREFID%], Relative time point: [%BETPT%], Time of collection [%BESTDTC%] is not within 10% deviation of the scheduled collection time after study treatment admin [%ECSTDTC%]. Contact Central Lab or update time in EDC.",BE,"BECAT,BESTDTC,BETPT",,,BE,"BECAT,BESTDTC,BETPT",BESTDTC,NA,NA,EC,ECSTDTC,"Study Treatment Administration - Lutikizumab/Placebo SC Dosing (Period 1),Study Treatment Administration Lutikizumab SC Dosing (Period 2)",,EC,ECSTDTC,,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
Test_sponsor_3,Load_study_10,Ref_Check_14,,,,Pharmacokinetic Sampling,"Time of collection for prior to dose sample should be before the corresponding study treatment administration time.

Category: PK
Sample type: SERUM
Purpose: sponsV-628
Relative time point: Prior to dose","VISITNAME(BE) = VISITNAME (EC) and BECAT = PHARMACOKINETIC and BETPT = PRIOR and BESTDTC > or = ECSTDTC. Query should fire.
 
 NOTE: 1. Consider both date and time for BESTDTC and ECSTDTC for comparison
2. 1 query per BESTDTC on lowest SPID

Note: Applicable visits are Week 12, Week 24, Week 36, Week 4, Week 48 (end of Year 1), Week 60, Week 72, Week 8, Week 84","Category: [%BECAT%], Sample type: [%BESPEC%], Purpose: [%BESCAT%], Barcode: [%BEREFID%], Relative time point: [%BETPT%], Time of collection [%BESTDTC%] is on or after the study treatment administration time [%ECSTDTC%]. Please contact Central Lab or update study treatment administration time in EDC.",BE,"BECAT,BETPT,BESTDTC",,,BE,"BECAT,BETPT,BESTDTC",BESTDTC,,,EC,ECSTDTC,,,EC,"ECSTDTC,DCMDATE,GRPID,SPID,VISIT",,,,,,,NO,,,,,,,,,,,,,,,,,,,,,,,,,
